source_row,text,removal_reason
84,Hi,exact_duplicate
238,nawaththanna kiyaddi nawaththuwanam hari,exact_duplicate
1105,hari hari,exact_duplicate
1106,hari hari,exact_duplicate
1670,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
1745,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
1792,[Unkown] eka mokakda kiyala,exact_duplicate
1805,[Unkown] [Unkown],marker_only
2788,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
2974,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
4318,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
4766,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
4992,mukuth ne,exact_duplicate
5210,sthuthiyi pradarshanaya oh saha ostin,exact_duplicate
5231,ow besil parissamen,exact_duplicate
5387,adaraya biya,exact_duplicate
6046,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
7087,[Unkown] [Unkown],marker_only
7236,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
7348,[Unkown] kiyanne mokakda mama oyata kiyanne kellata pissu hedenna one,exact_duplicate
7488,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
8007,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
8008,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
8009,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
8010,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
8441,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
8586,[Unkown] [Unkown] [Unkown] [Unkown],marker_only
8731,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
8762,he [Unkown] rok oba hondin,exact_duplicate
8763,rok oya hari ow kawuruhari mata katha karanna,exact_duplicate
8764,ow kawuruhari mata katha karanna oba hondin sitina bawa obata wishwasayi,exact_duplicate
8765,ne oyata wishwasayi oya hondin kiyala mama hondayi oyawa anith peththata allaganna,exact_duplicate
9292,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
9488,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
9754,[Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown] [Unkown],marker_only
9961,subha rathriyak subha rathriyak,exact_duplicate
10057,[Unkown] [Unkown],marker_only
10078,[Unkown] [Unkown] [Unkown] [Unkown],marker_only
10370,[Unkown] [Unkown],marker_only
