text,label,language_tag
eka iwarayi jek un koheda giye kiyala,0,singlish
hondayi wadda kiyanna oyata eyalagen ahanna ona kiyala mama ina kola enduma gannam mama hithanne me nambar eka tikak wegawath kiyala winadiyak inna,0,singlish
mama meeta pera kawadawath prasiddhiye netuwe nehe oba wishishta lesa natanawa,0,singlish
me wage weda bari athal danne nathuwa tikak hithapan oya wage kenek.,0,singlish
oba nana kamarayata ya yuthu bawa obata semawitama pewasiya heki thak kal mama sadayen iwath wanne keseda yanna paripurnayi,1,singlish
"ane manda uba, mole kalpana nathi wage behave wenne ai? hariyata behave karapan.",0,singlish
balanna oba heta rathriye newatha nagarayata peminenu etha api rathree aharaya ganimu eya katha karamu mama apasu noennemi mama etlanta dhawanaya illa sitimi,0,singlish
"oya hariyata awajathaka  wage wada karanawa, boruwata katha karanne.",1,singlish
oya monawada methana karanne ethakota paththare kiwwa weda tikak lihil wela thiyenawa kiyala hithuwa ekak ithuru weyi kiyala,0,singlish
balanna e begaya eya regena eliyata a eya kisi dinaka eyata atha nothebu athara mama kohen eliyata aweda netha,0,singlish
"uba, meka nam gon harakek level ekak. oya wage aya nisa thamai mehema wenne.",1,singlish
me video eka balala comment karana eka ta kiyanna one boru karaya wage wada nawaththanna kiyala.,0,singlish
api oyawa balanna awa wediya karadarayak nethnam apita kema tikak odar karanna puluwanda,0,singlish
mechchara kal karnal oya dannawane mata mokakda kiyala,0,singlish
eya uru nowe nam eya akuru hathak wiya,0,singlish
mama guruwarayage surathal niyojithayeku laba ganimin sitimi mama e gena karadara nowannemi mehi awata sitina boho minisun owunge guruwarun surathal sathun bawa oba sithiya yuthuya,0,singlish
oya monawada karanna yanne kiyala kalin balaganna,0,singlish
manusheeya pariwarthanaya matha randa pawathina ekak oba asala wadi wee sitina wishayaya,1,singlish
minisun etharam sarala netha oba pewaruma sampurna nokalahoth obata dawasa sandaha binduwak lebenu etha,0,singlish
uba nam awajathaka wage ne hariyata.,1,singlish
mama apahu enakota apita me gena katha karamuda ow jefri,0,singlish
dennage nattuma maru ane oyla videos danakm man balm ino ane harima lassani man kamathi oya dennatama man gaguli thrushika ️️drnnma parissamen inna ..budusaranai,1,singlish
"hariyata baluwoth me comment eka danapu eka awajathaka  wage ne, poddak mole pawichchi karapan.",1,singlish
awasana washayen samanya buddhiyen oba adahas karanne kumakda yannayi,0,singlish
"uba, meka nam wikarayak level ekak. meka nam athi.",0,singlish
ewita mama kisiwak wenas nokala yuthuya netha mama kisiwak wenas nokarami,0,singlish
eya andina de mata kamak netha eya obawa ridaweemata hethu wiya,0,singlish
owun eththatama eyawa paripurna kala,1,singlish
parissam wenna sanda enna mama keti wela,1,singlish
uba nam mole nathi ne oya wage aya nisa thamai mehema wenne.,0,singlish
"ane oya ge reply eka, gon hariyata behave karapan.",1,singlish
oba kawuda mage nama kasim,0,singlish
e wage napuru belmak thiyena eya pudumayi neda oyata mama dakinna one monawada kiyala,0,singlish
"ane me wage wada karana aya, gon athal karaya hariyata.",1,singlish
me wage wada karana aya mehema karanne awajathaka wage nisa da? hariyata.,1,singlish
oyata be mata e muthu gannath oyatath be,0,singlish
"me comment eka danapu eka, meka nam gon level ekak. meka nam athi.",1,singlish
oya gon boruwata katha karanne.,1,singlish
api dennata pramanawath tharam winoda wenna oh ehema godurak wenna epa,0,singlish
mehema wada karana eka mehema karanne awajathaka wage nisa da? hariyata.,1,singlish
oh margaya obe nama mokakda e,0,singlish
pasugiya sathiye ejansiye kshethra niladhariyek rusiyanu jathikayekugen rusiyanu jathikayeku miladee geneemata giyeya,0,singlish
oya ge reply eka ge me wage gon harakek comment dakkama epa wenawa.,1,singlish
sathiyak api balan hitiya niyama welawa enakam mata hengenne mawa paripurna minisek bawata path kala wage,1,singlish
oya kohomada miniho narakak neweyi narakak karanne,0,singlish
me video eka balala comment karana eka mehema karanne gon harakek nisa da? ne.,1,singlish
ikman karanna mata mokada den oya eyata kiwwe neththe,0,singlish
oya ge wada ge kathawa ahuwama boru karaya kiyala hithenawa.,0,singlish
oya wage kenek ge kathawa ahuwama gon athal karaya kiyala hithenawa.,1,singlish
oya ge post eka ta kiyanna one gon athal karaya wage wada nawaththanna kiyala.,1,singlish
oya keptan puduma keptan ekka monawada kale,0,singlish
"""godak lassanai akki e wagema oyath godak lassanai hadhawathinma subha pathanawa",0,singlish
"ane manda me wage wada karana aya, gon harakek wage behave wenne ai? kata wahagena inna.",1,singlish
ohu chayarupaye pawasanne ohu heta ekolahata katha karana bawayi ewita apasu noenne eyi saha obama sawan denna oh api newatha ennam obata eya ottu thebiya hekiya,0,singlish
oba sathuwa mudal thibiya yuththe dolar kihipayak pamani,0,singlish
"ane me comment eka danapu eka, awajathaka wage me wage wada nawaththapan.",1,singlish
"uba hariyata gon wage wada karanawa, machan.",1,singlish
"ane mehema wada karana eka, weda bari kata wahagena inna.",0,singlish
"hariyata baluwoth oya awajathaka wage  ne, meka nam athi.",1,singlish
eyi mama hekiyawan soyanne neththe,0,singlish
yesus kristhus api negitinawa,0,singlish
wathayata athurudahan wana de karanna,0,singlish
samawenna yaluwane api ape prawaha seerumaru karanawa nam hondayi,0,singlish
oba pariwasa bharayata path wu da sita oba motar rathayak pedawuye netha yana prashnayata pilithuru denna,1,singlish
kappam gonuwa eyayi sthuthiyi newathath ema enduma andinna epa mmm mata oba noesu de,1,singlish
oba mulinma karana me chithrapatiya mokakda heree mama ekata uththarayak dennam,0,singlish
e mokada oya ekaparatama mahansi wenna theeranaya kale ude hayayi,0,singlish
parana lakunu nirakaranaya kireemen obata paligeneemak yeyi pewasiya hekiya eya apawa siragatha karana gon katha godak weni ya,1,singlish
kamak nehe adaraneeya ohuta dukkitha thathwaya etha mistar konwe mama me sthanayata kemathi nehe mama eyata kemathi nehe eya adbhutha wediyi,0,singlish
