sample_id,text,source_row,review_status,review_reason
SI00001,Ammage redda.daru Patan badaginne thiyala hadanne anurage ahawal ekada yako.,2,pending,
SI00002,ane gas ballo...hama.dema oham dakinna epa...lanwe oham than hama thanamatiyanwa,3,pending,
SI00003,Anura kelawaganene balu upadesakala nessa .,4,pending,
SI00004,Anura kumarage neethiya,5,pending,
SI00005,Apith enam paraka thank atawa gattama apitat  thank hambeyi ne  etkot,6,pending,
SI00006,Apith ghilla payment eke kada damu hema thanama,7,pending,
SI00007,Aruta kelawenwa,8,pending,
SI00008,Awajataka ponnayak rajakarata topita Dan sapada,9,pending,
SI00009,Colaba oya vagay unama parliament manthrini maligay niyogan adikrana niyogaya navathuva avagay maykath karanam a minissunta sathak vai nayda,10,pending,
SI00010,Dan saneepa da,11,pending,
SI00011,Dan sapada topita sunakayak raja karana,12,pending,
SI00012,Deepalla anurata chande.dan hodai neda.,13,pending,
SI00013,Den harine Ranil ta kelawala,14,pending,
SI00014,"eka anurada kadala thiyenne, yako mu mara baduwakneh. video eka apassata aragenath baluwa. anura nane.",15,pending,
SI00015,Gahaa alawapalaaa,16,pending,
SI00016,Good job,17,pending,
SI00017,Good job but give them new place poor person they have to do there business,18,pending,
SI00018,Ha me hitapu sabapathiyane geme ekabrun karanne.unage aththanomathika theerana thamai me.,19,pending,
SI00019,hoda wade okunta parawal aine  minissunta karadara wenna kada danawata,20,pending,
SI00020,"Honda dewal karanakota sahayogaya deepalla 
Horata hadagath liyavili penna penna kagahanna eppa ratama dakinawa thamunlage boru aithiwasikam gana 
Apu niladarin unta kagahanna deela apu Rajakariya Itukaranna onnae
Neethiya Dan kriyathmaka wenawa dakweemak sathutak",21,pending,
SI00021,Kada heduwata lassnata un okkom kunu danne kanuwata,22,pending,
SI00022,Kadar jeppo,23,pending,
SI00023,Kalakani untha chandaya dila widawanewa,24,pending,
SI00024,Kalin palana balayata dapuwa Hoda wede.,25,pending,
