id,SINGLISH,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,avatar_url,original_text,text,original_label,label,clean_text,text_length,word_count,language_type,suspicious_subtitle,removal_reason,normalized_for_dedup,duplicate_flag,label_conflict,manual_review
83,Hi,,,,,,,,,,,Hi,Hi,,,hi,2,1,Singlish,False,duplicate,hi,True,False,False
237,nawaththanna kiyaddi nawaththuwanam hari,,,,,,,,,,,nawaththanna kiyaddi nawaththuwanam hari,nawaththanna kiyaddi nawaththuwanam hari,,,nawaththanna kiyaddi nawaththuwanam hari,40,4,Singlish,False,duplicate,nawaththanna kiyaddi nawaththuwanam hari,True,False,False
333,eka aththa,,,,,,,,,,,eka aththa,eka aththa,,,eka aththa,10,2,Singlish,False,duplicate,eka aththa,True,False,False
426,Ela Ela,,,,,,,,,,,Ela Ela,Ela Ela,,,ela ela,7,2,Singlish,False,duplicate,ela ela,True,False,False
480,hek kireema saha kata wahagena kela gasana kotasa nowe karunakara hari ehenam api senasurada rathriye pransha ahara tikak uthsaha karanne keseda [Unkown],,,,,,,,,,,hek kireema saha kata wahagena kela gasana kotasa nowe karunakara hari ehenam api senasurada rathriye pransha ahara tikak uthsaha karanne keseda [Unkown],hek kireema saha kata wahagena kela gasana kotasa nowe karunakara hari ehenam api senasurada rathriye pransha ahara tikak uthsaha karanne keseda [Unkown],,,hek kireema saha kata wahagena kela gasana kotasa nowe karunakara hari ehenam api senasurada rathriye pransha ahara tikak uthsaha karanne keseda [unkown],153,22,Singlish,True,subtitle_noise,hek kireema saha kata wahagena kela gasana kotasa nowe karunakara hari ehenam api senasurada rathriye pransha ahara tikak uthsaha karanne keseda [unkown],False,False,False
481,hondayi mama hithuwa api uchcharanayen patan ganimu eya obata hari nam [Unkown] kireema saha katagesma saha kela geseema yana kotasa nowe,,,,,,,,,,,hondayi mama hithuwa api uchcharanayen patan ganimu eya obata hari nam [Unkown] kireema saha katagesma saha kela geseema yana kotasa nowe,hondayi mama hithuwa api uchcharanayen patan ganimu eya obata hari nam [Unkown] kireema saha katagesma saha kela geseema yana kotasa nowe,,,hondayi mama hithuwa api uchcharanayen patan ganimu eya obata hari nam [unkown] kireema saha katagesma saha kela geseema yana kotasa nowe,137,21,Singlish,True,subtitle_noise,hondayi mama hithuwa api uchcharanayen patan ganimu eya obata hari nam [unkown] kireema saha katagesma saha kela geseema yana kotasa nowe,False,False,False
498,ohu thel sahitha ho wiyali [Unkown] yanna mama nodanimi ohu mahathmayekuta wada wenas wanu etheyi mama sithuwemi,,,,,,,,,,,ohu thel sahitha ho wiyali [Unkown] yanna mama nodanimi ohu mahathmayekuta wada wenas wanu etheyi mama sithuwemi,ohu thel sahitha ho wiyali [Unkown] yanna mama nodanimi ohu mahathmayekuta wada wenas wanu etheyi mama sithuwemi,,,ohu thel sahitha ho wiyali [unkown] yanna mama nodanimi ohu mahathmayekuta wada wenas wanu etheyi mama sithuwemi,112,17,Singlish,True,subtitle_noise,ohu thel sahitha ho wiyali [unkown] yanna mama nodanimi ohu mahathmayekuta wada wenas wanu etheyi mama sithuwemi,False,False,False
504,ahanna mata oya ekka katha karanna ona [Unkown] eka gena oya danna ganudenuwa pusa nogiyoth mata yanna be,,,,,,,,,,,ahanna mata oya ekka katha karanna ona [Unkown] eka gena oya danna ganudenuwa pusa nogiyoth mata yanna be,ahanna mata oya ekka katha karanna ona [Unkown] eka gena oya danna ganudenuwa pusa nogiyoth mata yanna be,,,ahanna mata oya ekka katha karanna ona [unkown] eka gena oya danna ganudenuwa pusa nogiyoth mata yanna be,105,18,Singlish,True,subtitle_noise,ahanna mata oya ekka katha karanna ona [unkown] eka gena oya danna ganudenuwa pusa nogiyoth mata yanna be,False,False,False
509,oba mage margayen iwath nowanne nam obata awama washayen bra ekak endeemata patan gatha hekida [Unkown],,,,,,,,,,,oba mage margayen iwath nowanne nam obata awama washayen bra ekak endeemata patan gatha hekida [Unkown],oba mage margayen iwath nowanne nam obata awama washayen bra ekak endeemata patan gatha hekida [Unkown],,,oba mage margayen iwath nowanne nam obata awama washayen bra ekak endeemata patan gatha hekida [unkown],103,16,Singlish,True,subtitle_noise,oba mage margayen iwath nowanne nam obata awama washayen bra ekak endeemata patan gatha hekida [unkown],False,False,False
510,apoyi dewiyane meyin adahas karanne oba samanya thathwayata pathwemin sitina bawayi eyin adahas karanne [Unkown] samaja shalawe wadanaya karana athara api yanawa,,,,,,,,,,,apoyi dewiyane meyin adahas karanne oba samanya thathwayata pathwemin sitina bawayi eyin adahas karanne [Unkown] samaja shalawe wadanaya karana athara api yanawa,apoyi dewiyane meyin adahas karanne oba samanya thathwayata pathwemin sitina bawayi eyin adahas karanne [Unkown] samaja shalawe wadanaya karana athara api yanawa,,,apoyi dewiyane meyin adahas karanne oba samanya thathwayata pathwemin sitina bawayi eyin adahas karanne [unkown] samaja shalawe wadanaya karana athara api yanawa,161,22,Singlish,True,subtitle_noise,apoyi dewiyane meyin adahas karanne oba samanya thathwayata pathwemin sitina bawayi eyin adahas karanne [unkown] samaja shalawe wadanaya karana athara api yanawa,False,False,False
516,ahanna mama dannawa oya gedara indagena innawata akamethiyi kiyala mokada mama oya wage [Unkown] usas pasalaka igena ganna kenek neweyi,,,,,,,,,,,ahanna mama dannawa oya gedara indagena innawata akamethiyi kiyala mokada mama oya wage [Unkown] usas pasalaka igena ganna kenek neweyi,ahanna mama dannawa oya gedara indagena innawata akamethiyi kiyala mokada mama oya wage [Unkown] usas pasalaka igena ganna kenek neweyi,,,ahanna mama dannawa oya gedara indagena innawata akamethiyi kiyala mokada mama oya wage [unkown] usas pasalaka igena ganna kenek neweyi,135,20,Singlish,True,subtitle_noise,ahanna mama dannawa oya gedara indagena innawata akamethiyi kiyala mokada mama oya wage [unkown] usas pasalaka igena ganna kenek neweyi,False,False,False
518,oba selakillak [Unkown] men mama selakillak dakwami namuth wenath ayekuta nowa obema hethu nisa yamak kireemata mama dedi lesa wishwasa karami,,,,,,,,,,,oba selakillak [Unkown] men mama selakillak dakwami namuth wenath ayekuta nowa obema hethu nisa yamak kireemata mama dedi lesa wishwasa karami,oba selakillak [Unkown] men mama selakillak dakwami namuth wenath ayekuta nowa obema hethu nisa yamak kireemata mama dedi lesa wishwasa karami,,,oba selakillak [unkown] men mama selakillak dakwami namuth wenath ayekuta nowa obema hethu nisa yamak kireemata mama dedi lesa wishwasa karami,142,21,Singlish,True,subtitle_noise,oba selakillak [unkown] men mama selakillak dakwami namuth wenath ayekuta nowa obema hethu nisa yamak kireemata mama dedi lesa wishwasa karami,False,False,False
