text,label,language_tag
"ஒட்டுமொத்த தருமபுரி வன்னியர் சமூகத்தின் சார்பாக படம், மாபெரும் வெற்றி அடைய வாழ்த்துக்கள்",0,tamil
எல்லாம் படித்த இளைஞர்களாக தெரிகிறீர்கள் .. ஆனால் யோசிக்க மறுத்தால் என்ன செய்வது 1. சொத்துக்காக நாடக காதல் செய்பவன் ஏன் வேற ஊருக்கு பயந்து ஓடனும்.. 2. அப்படி வெட்டி கொல்றவங்க கிட்ட இருந்து தப்பிக்க அந்த பெண்ணை திருப்பி அனுப்பியிருப்பானே... ஆனா உயிர எடுத்துட்டு தான அந்த பொண்ண திருப்பி கூட்டிட்டு போறீங்க...  3. நீங்க சாதி பெருமை பேசி பிற சமுகத்தை வெறுத்து கொண்டே இருங்க பிராமணர்கள் உன்னையும் சேர்த்து தான் அடிமையா நடத்திட்டே இருப்பான் இருக்கான்   4. இட ஒதுக்கீடு நமக்கும் தான்டா இருக்கு 27% 18% மற்றவன் வாழ்ந்துறவே கூடாது...🤦‍🤦‍,0,tamil
நாமக்கல் செட்டியார்கள் சார்பாக இந்தப்படம் மாபெரும் வெற்றியடைய வாழ்த்துக்கள்,0,tamil
அடப்பாவி என்னடா ஒரே ஜாதி பெயரா இருக்கு comments fulla. சரி நம்மளும் வாழ்த்து சொல்லி வைப்போம்!! ஐயங்கார் வடகலை சமூகத்தின் வாழ்த்துக்கள்!!! (மைண்ட் வாய்ஸ்: உங்களை எல்லாம் 1000 பெரியார் வந்தாலும் திருத்த முடியாது!),0,tamil
என்னடா இது படத்துல ஹீரோவே இல்லையா எல்லாமே வில்லனாக இருக்கானுங்க.,1,tamil
நம்மை ஜாதி ரீதியாக எதிர்க்க துப்பில்லாமல் இந்த பக்கம் தமிழ் தமிழ்னு போலியா கூவிக்கிட்டு அந்த பக்கம் ஜாதி ஒழிப்புனு கூவுற  கருஞ்சட்டைகளின் ஒரே நோக்கம் நம் வீட்டு பெண்களே. இதை புரிய வேண்டிய நேரம் இது. திரெளபதி மேல் ஜாதியினர் ஒற்றுமை.,0,tamil
ஒரு நல்ல திரைப்படம் பார்க்க போகிறேன் என்று நினைக்கிறேன்,0,tamil
"ஒவ்வொருத்தனும் தன் சாதி பெயரை சொல்லி... படத்தை வாழ்த்தும்போது... இன்னும் பல நூற்றாண்டுகள் ஆனாலும் சாதி வெறி பிடித்த தமிழ்நாடு முன்னேறவே முன்னேறாது... தூ,ஊ தூஊ கேவலமா இல்ல...  இந்தப்படம் தடை செய்யப்பட வேண்டும். சாதிதான சமூகம் என்றால் வீசும் காற்றில் விஷம் பரவட்டும்.",1,tamil
திருநெல்வேலி மாவட்ட தல ரசிகர்கள் சார்பாக வாழ்த்துக்கள்.,0,tamil
பொள்ளாச்சி சம்பவம் பற்றி ஒரு படம் எடுங்கடா பார்ப்போம்...,0,tamil
Mohan.G வாழ்த்துக்கள் இது போன்ற படங்கள் எடுங்க g அப்பதான் இந்த கும்பல் ஒழியும்,0,tamil
இந்த லட்சணத்துல குருமா திருட்டு நாய் இந்து மதத்தைப் பத்தி தப்பா பேசுது .,1,tamil
வாங்க வாங்க  வரிசையா வந்து  கதறிட்டு போங்க.........   (5 ருபா அயன் பன்னுன சொக்காஸ்),1,tamil
சுட்டு போட்டக்கூட இந்த நாய்க்கு நடிப்பு வராது காசு இருந்த கழுதையை கூட Hero வ நடிக்க வைக்கலாம்,1,tamil
உசிலம்பட்டி தேவர் இனத்தின் சார்பாக இந்த படம் வெற்றியடைய என்னவேனாலும் பண்ணுவோம் முடிச்ச தடுத்துப்பார்டா...,1,tamil
எல்லா இனம் சார்பாக நாடக காதலை  எதிர்பேன்,0,tamil
