id,SINGLISH,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,avatar_url,original_text,text,original_label,label,clean_text,text_length,word_count,language_type,suspicious_subtitle,removal_reason,normalized_for_dedup,duplicate_flag,label_conflict,manual_review
247,Oya potha thama [ kuruvane ] kiyala kiyanne muslim ayage,,,,,,,,,,,Oya potha thama [ kuruvane ] kiyala kiyanne muslim ayage,Oya potha thama [ kuruvane ] kiyala kiyanne muslim ayage,,,oya potha thama [ kuruvane ] kiyala kiyanne muslim ayage,56,10,Singlish,True,,oya potha thama [ kuruvane ] kiyala kiyanne muslim ayage,False,False,True
479,ne ne eka mage waradak apita hari haman [Unkown] kenek hitiye ne,,,,,,,,,,,ne ne eka mage waradak apita hari haman [Unkown] kenek hitiye ne,ne ne eka mage waradak apita hari haman [Unkown] kenek hitiye ne,,,ne ne eka mage waradak apita hari haman [unkown] kenek hitiye ne,64,12,Singlish,True,,ne ne eka mage waradak apita hari haman [unkown] kenek hitiye ne,False,False,True
483,[Unkown] apita [Unkown] pemwathek hoyaganna puluwan nam mata karanna puluwan monawada kiyala balanna,,,,,,,,,,,[Unkown] apita [Unkown] pemwathek hoyaganna puluwan nam mata karanna puluwan monawada kiyala balanna,[Unkown] apita [Unkown] pemwathek hoyaganna puluwan nam mata karanna puluwan monawada kiyala balanna,,,[unkown] apita [unkown] pemwathek hoyaganna puluwan nam mata karanna puluwan monawada kiyala balanna,100,13,Singlish,True,,[unkown] apita [unkown] pemwathek hoyaganna puluwan nam mata karanna puluwan monawada kiyala balanna,False,False,True
490,oba [Unkown] dannawa api kala upadeshakayeku bedahada ganna bawa mama wishwasa karami,,,,,,,,,,,oba [Unkown] dannawa api kala upadeshakayeku bedahada ganna bawa mama wishwasa karami,oba [Unkown] dannawa api kala upadeshakayeku bedahada ganna bawa mama wishwasa karami,,,oba [unkown] dannawa api kala upadeshakayeku bedahada ganna bawa mama wishwasa karami,85,12,Singlish,True,,oba [unkown] dannawa api kala upadeshakayeku bedahada ganna bawa mama wishwasa karami,False,False,True
493,me nimak nethi lassana [Unkown] mata mona wikarayakda kiyala matama epa wenawa wage,,,,,,,,,,,me nimak nethi lassana [Unkown] mata mona wikarayakda kiyala matama epa wenawa wage,me nimak nethi lassana [Unkown] mata mona wikarayakda kiyala matama epa wenawa wage,,,me nimak nethi lassana [unkown] mata mona wikarayakda kiyala matama epa wenawa wage,83,13,Singlish,True,,me nimak nethi lassana [unkown] mata mona wikarayakda kiyala matama epa wenawa wage,False,False,True
494,mata me nimak nethi ranwan [Unkown] mata kammeliyi,,,,,,,,,,,mata me nimak nethi ranwan [Unkown] mata kammeliyi,mata me nimak nethi ranwan [Unkown] mata kammeliyi,,,mata me nimak nethi ranwan [unkown] mata kammeliyi,50,8,Singlish,True,,mata me nimak nethi ranwan [unkown] mata kammeliyi,False,False,True
503,hariyatama ithin oba senasurada [Unkown] [Unkown] ge deyak balaporoththu wenawa,,,,,,,,,,,hariyatama ithin oba senasurada [Unkown] [Unkown] ge deyak balaporoththu wenawa,hariyatama ithin oba senasurada [Unkown] [Unkown] ge deyak balaporoththu wenawa,,,hariyatama ithin oba senasurada [unkown] [unkown] ge deyak balaporoththu wenawa,79,10,Singlish,True,,hariyatama ithin oba senasurada [unkown] [unkown] ge deyak balaporoththu wenawa,False,False,True
515,oba sampurnayenma [Unkown] apata den yanna puluwan,,,,,,,,,,,oba sampurnayenma [Unkown] apata den yanna puluwan,oba sampurnayenma [Unkown] apata den yanna puluwan,,,oba sampurnayenma [unkown] apata den yanna puluwan,50,7,Singlish,True,,oba sampurnayenma [unkown] apata den yanna puluwan,False,False,True
520,namuth oba [Unkown] waira karanawa mama eda kale wenama kathawaki,,,,,,,,,,,namuth oba [Unkown] waira karanawa mama eda kale wenama kathawaki,namuth oba [Unkown] waira karanawa mama eda kale wenama kathawaki,,,namuth oba [unkown] waira karanawa mama eda kale wenama kathawaki,65,10,Singlish,True,,namuth oba [unkown] waira karanawa mama eda kale wenama kathawaki,False,False,True
530,mata awashya de sadahatama prathikara sandaha yeweemata mata sampurnayenma hani karanne kumakda [Unkown],,,,,,,,,,,mata awashya de sadahatama prathikara sandaha yeweemata mata sampurnayenma hani karanne kumakda [Unkown],mata awashya de sadahatama prathikara sandaha yeweemata mata sampurnayenma hani karanne kumakda [Unkown],,,mata awashya de sadahatama prathikara sandaha yeweemata mata sampurnayenma hani karanne kumakda [unkown],104,13,Singlish,True,,mata awashya de sadahatama prathikara sandaha yeweemata mata sampurnayenma hani karanne kumakda [unkown],False,False,True
