sample_id,text,source_row,review_status,review_reason,reviewer_1_label,reviewer_2_label,final_label,annotation_status
SI28960,mama kawadawath oyawa mata kemathi karawanna uthsaha kale nehe mama oyawa mata hondin adaraya karanna uthsaha kala subha pethum oya eka ayin kala,28961,pending,,,,,pending
SI36283,"oya ge wada hariyata wal buruwa wage wada karanawa, meka nam athi.",36284,needs_review,uncertain_provenance,,,,pending
SI35419,"""Manikah",35420,needs_review,single_word;leading_quote,,,,pending
SI07411,mama hithuwe oyata minihek innawa kiyala mama kiwwa api eya gena katha karanne nehe kiyala,7412,pending,,,,,pending
SI13927,eyi api ewayin samaharak laba nogatha yuththe wishala athalossak anubhawa kara in samaharak siduwanne kumakda yannayi,13928,pending,,,,,pending
SI20033,hondayi subha rathriyak,20034,pending,,,,,pending
SI15336,owun apasu ethulata yana thenata gos etha,15337,pending,,,,,pending
SI34993,"""kudda",34994,needs_review,single_word;leading_quote,,,,pending
SI08281,mama pahata rediyal [Unkown] salakunu karamin rojar wulf eka pita karanawa,8282,needs_review,partial_unknown_marker,,,,pending
SI11354,nikamata hithuwa samaharawita eya eyage kela ekka kopi tikak bonna oya kemathi nehe kiyala,11355,pending,,,,,pending
SI31699,mata yamak awashyayi obata benku sambandhatha thibeda mata sambandhatha thibe,31700,pending,,,,,pending
SI07757,oyata asaneepayi mata kawadawath hondak denune nehe,7758,pending,,,,,pending
SI16713,mama samaye minisek mama obata jeewath weemata awashya eya regena yannemi,16714,pending,,,,,pending
SI28869,mata iwasiya heki ekama asalwesiya obayi mama obata anathuru engewwa,28870,pending,,,,,pending
SI35145,"""hodai",35146,needs_review,single_word;leading_quote,,,,pending
SI10960,oba obe potha wikunana thuru eya apasu ganna meriyan enna api sathyayata muhuna demu kisiweku eya prakashayata path nokaranu etha,10961,pending,,,,,pending
SI25652,mama ellenawa heyi inna,25653,pending,,,,,pending
SI33049,[Unkown] [Unkown] wena wachanayak neweyi,33050,needs_review,partial_unknown_marker,,,,pending
SI05672,mama obata thawath ganudenuwak kireemata sudanam oh thawamath mage hadawatha wanna,5673,pending,,,,,pending
SI35207,"""Lassanaei nehara tichar",35208,needs_review,leading_quote,,,,pending
SI39884,"Ane oya, pissu wage danawada mokakda kiyala.",39885,needs_review,uncertain_provenance,,,,pending
SI15774,samahara wita mama kihipa wathawakma katawath wedi thaba etha,15775,pending,,,,,pending
SI25160,ow,25161,needs_review,single_word,,,,pending
SI20790,hisak nomethiwa siyaluma wilasithawan mata wisthara ithiri karayi,20791,pending,,,,,pending
SI13038,e gena mata kiyanna,13039,pending,,,,,pending
SI38385,"Ane manda oya ge reply eka, hitha nathi wage behave wenne ai? tikak igena ganin.",38386,needs_review,uncertain_provenance,,,,pending
SI35097,"""Lasannee",35098,needs_review,single_word;leading_quote,,,,pending
SI09668,namuth mata ema poth awashyayi oba mata obe piya mathak kara denawa ohu kawadawath chayarupa elbamayak illa nositiyath ohu nitharama kegesuwa,9669,pending,,,,,pending
SI16032,ow ow mama eya matha sitimi api ikmaninma gaman karana tharamata api ape de wiyadam kireemata ikman wemu,16033,pending,,,,,pending
SI01957,oya awurudu hayakata kalin edee kellawa marala demma mona magulakda,1958,pending,,,,,pending
SI17545,oba koheda [Unkown] hotalaya,17546,needs_review,partial_unknown_marker,,,,pending
SI38791,"oya hariyata weda bari wage wada karanawa, comment karanna kalin hithapan.",38792,needs_review,uncertain_provenance,,,,pending
SI35178,"""El",35179,needs_review,single_word;leading_quote,,,,pending
SI35448,"""Akke dance eka beautiful ?? Video ekata Copyright wadila ??",35449,needs_review,leading_quote,,,,pending
SI09377,mage kabaya namuth api kala yuththe kumakda [Unkown],9378,needs_review,partial_unknown_marker,,,,pending
SI14889,ithin mama sadharana paharak laba gannam obata obata awashya siyalla lebenu etha ho neel obata laba geneemata awashya deyi balamu,14890,pending,,,,,pending
SI28091,mama eyata ida nodemi namuth eeye rathriye karyalayedee api mage wththiya gena sakachcha karana wita oba ekanga wiya,28092,pending,,,,,pending
SI15888,eththatama matin api katha karanna apu chithrapatiya [Unkown] [Unkown] ow apita therenawa oya pitapatha kiyawala ekata godak kemathi,15889,needs_review,partial_unknown_marker,,,,pending
SI23764,den api nawathwanne nethi de,23765,pending,,,,,pending
SI10490,eya hondin sitinu etheyi oba sithanawada eya eyawa rekabala ganne kesedeyi danee,10491,pending,,,,,pending
SI34258,ohu kiwwa obata mangaharinna oba nowannata mama ekathu wanne nehe eka loku deyak,34259,pending,,,,,pending
SI25443,oh mama teewee balanawa danne nehe monada balanne kiyala,25444,pending,,,,,pending
SI35291,"""Matath dance igana ganna one ????",35292,needs_review,leading_quote,,,,pending
SI35336,Marama,35337,needs_review,single_word,,,,pending
SI03179,sankeernaye mandagamee kawa hathalihak allagena wyuhaya nowenaswa penena paridi owunta balaya etha,3180,pending,,,,,pending
SI38486,"oya wage kenek, uba nam boru karaya kiyala therenneth ne.",38487,needs_review,uncertain_provenance,,,,pending
SI40185,me video eka balala comment karana eka wal buruwa hariyata.,40186,needs_review,uncertain_provenance,,,,pending
