text,label,language_tag
Yuvan Shankar Raja Musical name ah full screen la podunga pa movie la. Fans kudukura applause ah appo paarpinga,1,tanglish
Finishing la sema kalai vechutanga phaa thalaivar fans yarulam gaanda erukeegaa,1,tanglish
"Konjam varusam munadi Varaikum jaathi prechana oonju irunchu ipo P.Ranjith, muthiah nu jaathi colour Poosi Samooga padamnu solli jaathi Veri ya Thirumba thoondi vidranunga ivanungala 1st direct pana kudathu nu ban pananum",1,tanglish
veraaa levllllll thalaivaaa.......avlooo young ahhh kaatirkangaaaaaa......antha style korayaaveee illaa.....peeettttaaa pongaaallllll thalaivaaaa....rajini fan sonale thani gethu thannnn.... thalaivaaaa..lveee youuuuu,0,tanglish
Movie kandippa 1day pakkanum vanniyar na yaarunu kaattanum,0,tanglish
Thala is Daniel Craig punda baadu is great thala mass scan oru Sunni paya vivegam will surely become hit.. apdina nenchingana nee oru mutta punda da ama kunjungala,1,tanglish
Diwali Karthi : kaithi Maran Maas  Bigil  : ? Comment,1,tanglish
Enna Da likes mukkitu iruku ? Aamai kunjukala where 🤣🤣🤣🤣🤣,1,tanglish
Average movie no interesting testing scene mauli copied movie,0,tanglish
Polladha boomi song yen movie la varala,0,tanglish
"Super song, mokka dance and video editing",1,tanglish
2:05 heyy ithu 96 yaara yematha pakkiraa.   bangam daaa,1,tanglish
Ulla porathuku munadi ena panitu irunthenu theriyathu la  n tat bgm,1,tanglish
0:50  Koyyala ennada kelvi.... Aadhan tukkitu poyitiye.......,0,tanglish
Vetri pera valthum Vijay Anna Veriyan,0,tanglish
Eppa dayi..ippodhan da padam pathutu varen.. Dhanusha pudikadhavanukum indha padam pidukum..enna acting da,0,tanglish
Visuals & Pradeep Kumar Voice,0,tanglish
Looks like male version of aruvi,0,tanglish
Ena da full ah malayalam comment ah ve irku,1,tanglish
Yov yaaru ya athu kadaisila Duplicate rajini aaduthu..Kizhatu kosu thollai Thanga mudiyala..,1,tanglish
Ehh... Ithu 96 yaaru yematha paakura 🤣🤣🤣🤣 loved that dialogue   Thalaivar paatharanu therlaye,0,tanglish
vera level but mattran style iruku...,0,tanglish
Ennangada cmnt full ah ...matha state aalunga tha irukkangavjs,0,tanglish
Indha trailera big bossla podanumnu ninaikkaravunga like pannunga,0,tanglish
2017 Speech Super Star. 1996 endru solavakiran Poramboku Director.,1,tanglish
0:12 vj look like jai smile,0,tanglish
Vere level daaa..... Katta waiting...lalettan--surya.... Supercombo....,0,tanglish
blood ta   thodakkira scene   semma,0,tanglish
Andha 1:55 min la varra dialogue uhh dislike pandra anils kku correctahh porundhudhu,1,tanglish
Enna pantringa like ah thatti thookunga,0,tanglish
Poda vennai ga la Vikram fans ellarum jathi veri pudicha va ga. Palla thayoli ga,1,tanglish
Unga ponnunga Enga Mela Asa padama iruntha sari,0,tanglish
Neraya neraya neraya  After hearing tis sapadu nyabagam vandhuruchi,0,tanglish
"Are you vergin?., first question is veraa level",1,tanglish
It's looking like a lifeless statue,0,tanglish
adichathu addi vanghunavanuke therriyakoodatha appo ethuku addikiree,1,tanglish
Surya lalettan combo teaser kiduki thrimirthu kalaki,0,tanglish
Marana kattu katitaru enga surya anna,0,tanglish
"Ajith solra Last line,  idha yavadhu pathu thirundunga da dai",1,tanglish
Thaiva sithu here phone pottu pakkathiga bhiyama iruku,1,tanglish
Enda trailer release aagi oruvarusham aachu atha solla oruthanukkum thuppilla. Kodiya pudichinga nattinganu vaikiliya nakkuringa. Pongada polappa parunga.,1,tanglish
Paatu super but ajith paadurathu Semma Asingama irruku...,1,tanglish
Dindigul viswakarma samuthayam saarbaka vazhthukal...... Oru aan magan edutha padam na athu ithuthan......,0,tanglish
Lol bigil trailer inum release agula...athukula kaithi n bigil compare panitu irukanga...,1,tanglish
Adv Lk lal krishna rolling on tamil,0,tanglish
15M views ku apparam paakuravanga like podunga,0,tanglish
Ena da pani vachurukenga AMMA va????.,1,tanglish
Marana waiting Thalaivaaaaa      Asuran entry soon,0,tanglish
"Thala mass, Neriya Neriya Neriya Neriya Mass dailogue",0,tanglish
Innaikku Nambathaan Daa Trending,0,tanglish
0:25 ennadaaa panraa.... 🤣 🤣 🤣 Acting ah da adhu🤣🤣,1,tanglish
Remake of hindi  pink movie,0,tanglish
"Suriya, Mohan Lal, Arya, Samuthirakani, Boman Irani, Saayeesha yellorum kalakkiitinga",0,tanglish
Climax thala plus yuvan bgm trailer terikudu,0,tanglish
Mr bean cartoon series la vara music ah bgm ah poturukanga da🤣🤣,1,tanglish
Appidi podu.. semma.. mani ratnam sir ..‍‍,0,tanglish
Thalaivara paaka!! Konjam Veerappan Maari iruku laa!!!,1,tanglish
Nerkonda paarvai trailer Bgm link THALA Fans support my channel pls,0,tanglish
0:38 iron man looks like Marvel entry styale,0,tanglish
romba pantringa da suthama nalla ve illa da konjam ma pannunga da,1,tanglish
Katta waiting in keralaa SK fansss,0,tanglish
Namma rajini ya comali agina mari theridhu,1,tanglish
Indha trailer ah dislike pannuna komali yaru!!!,1,tanglish
Deii ENPT ye release aagiruchu.. innum itha release pannama vachurukinga....,1,tanglish
Ghibran Musiq on fireee Chiyan Sirrr Omg Mass Look Ungalukulam Vayasu eh aagala sirrr Still Young,0,tanglish
With in one minute la pathavanga like panuga,0,tanglish
Pongalukku tharamana sambavam kaathukittu erukku... Verithanam overloaded,0,tanglish
neraya neraya neraya neraya neraya .,0,tanglish
16 varushamaa ? Appo meedhi 10 varusham ??,1,tanglish
VALIMAI therikkavidalama guys waiting trailer,0,tanglish
VarthayalaSola terla semmaya irukaaru surya anna,0,tanglish
Adei sun picture ivlo nal trending ilama sudden uh 2ku vandrcha,1,tanglish
Suriya Anna masssssssssssssssssssssssssssssssssssssssssssssssssssss Tha  I love suriya,0,tanglish
Kongu velllar gownder sarbaga vetri pera valthugal,0,tanglish
Innum one week trending la tha irrukanum,0,tanglish
Thanjavur Thallaiyaatti Bommai pola iruku final ah,1,tanglish
Dei padam edukuradhe konjamachu adha paathu arivu varum nu dhaan ipoyum vandhu suriya mass yuvan mass selvaragavan mass nu pesitu irukingale da.... Nanum moonu peru fan dhaan ana dhayavu senji adhula enna solranga nu paathu purinjikonga mulichikonga innum box office count padam oducha ilaya yaaru mass mairu mattu nu pesitu irukadhinga.....,1,tanglish
Rangaraj Banda irukaru apa rendu periya thalaigalum mothuna epadi irukum,0,tanglish
Dai intha teaser Ku dislike panna avala paithikaranungada,1,tanglish
Power star srinavasan fans hit like here. ..,0,tanglish
"Marana mass, Ayan movie Mathiri irukum nu ninaikiran.,",0,tanglish
Omg awesome... Awesome... Awesome... Luv u thaalaiva..,0,tanglish
Saguratha irutha sanda potu saganum yar kallaium vizla kudathu   No fear,1,tanglish
Ena da amma va kaatranu kanda karumatha laan kaatrenga,1,tanglish
Un like pantravanlam kantippa paraiyanunga thaan###,1,tanglish
Mass.....  Thala acting Vera level  Thala pola varuma..........,0,tanglish
Heavy mass item... Suriya Annan Oru reksha illaa... Bgm heavy.... Pwolichu aduki..... E padam industrial hit avum....,0,tanglish
Surya Anna ethula irangunalum vivasayathuku support pandraru angathan nikkuraru thalaivaru,0,tanglish
Ayooo... Thala marana mass.... No back ground bgm started... Ennala kantrol panna mudila,1,tanglish
Eppadina bigil trailera namma views reach aga koodadhu adhe,1,tanglish
Daii H. Vinoth nee enga da iruka aiyoo dheivam da nee,0,tanglish
Vera level trailer from SURYA ANNA....,0,tanglish
"#thalaivarfans put dislike all indha padatha edhirpathen romba aana ipo enna naane serupala adicha maari aachu, yenda unga publicity ku cheap ah behave panreenga... idha tamilrockers la kuda paka maten",1,tanglish
Vera level LA irukku... NGK bee rock,0,tanglish
Comment la periya pudungi madiri jaadi name ah podra pudingigala.....Apdi Enna peruma miru ? British vanda apo oombitu daney erundeenga,1,tanglish
Vijay epdyum intha madhri padam panna mudiyadhu so his fanzz kadupaagi dislike panranga...... mersal varatum ungaluku kiliyapodhu anil kunjukala,1,tanglish
1:20 Ena Da Panni Vachirukinga Dai,1,tanglish
Semma teaser varalam varalam va Bairavaa,0,tanglish
Chlm I am waiting for the movie love u my fev jeeva chlm ummaaaaaaa ummaaaaaaa ummaaaaaaa,0,tanglish
tamilrockers irukkum podhu namakku yenna bayam.....haha..,1,tanglish
Super star..naa. super star..thaaa.. marana wating.........daaaaaaa...vainga..daa. .maronam..mass..maranam..thalaivar.varanum...adhuku...petta pongal..thaana..varanum.... sathiyama. Sollren..aduchu...anrarveroda.  oda.vettruven.     ......,1,tanglish
Waiting raksasan mathiri innoru movie,1,tanglish
2021 election ku ippovae start panitingala da? Unga vote bank ah thakka vachika nee edutha ayudham ungaluku keezha irukuravana chitavadha panradhu approm nadaga Kadhal nu solra Perla unga vitu pona neengalae kevala padutharadhu. Oru jadhi la oru kudumbam mattum nalla vazha neenga ellam adichikiringa,1,tanglish
Vera level la iruku DHANUSH sir maranam bgm Bayagarama iruku,0,tanglish
Kille pogathengah rombe perru like kerthu cmt pandrangeh,0,tanglish
Brother evanukkum payappadathingaaa ... Nammala immune panna mudiyathu.....,0,tanglish
Kadavule intha padam vegu viraivil thiraikku varavendum vendikolgiren,0,tanglish
sadhi sadhi nu enda ippadi padam yedukkuringa,1,tanglish
Padam semaya irukum pola🤩 wow... trailerae alludhae!!! Comaliiiiiii jollyyyyy!!!!!,0,tanglish
Any idea about 8.8k dislikers? 🤔🤔,1,tanglish
"Ellam sari, antha thadiyan enna panraan?? Constipation moonjikkaran",1,tanglish
I amThalapathy fan I like surya Anna Also,0,tanglish
"Marabadiyum ajithukku sombu adikka oruthen vandhu irukan, already ajithukku sombu adichavanga Nelamy yella mosamaa thaan irukku andha listla ivarum join aagitaaru, ex: simbu",1,tanglish
This copy story Giri movie Konjam kuda matram ilaaa,1,tanglish
Hip hop thamila semma acting ....specipic ka laughing,0,tanglish
Padam name Petta Rajini sattaila otta,0,tanglish
Ipo  yarylam Thala tharisanam paka  vanthinga,0,tanglish
VANTHAL RAJU AH THAN VARUVEN KU pochuku samam daa NKP,1,tanglish
Naxal  Anti Indian  Terrorists  BJP sangis ah seruppala adikanum,1,tanglish
i think arun vijay is villian.,0,tanglish
அடிச்சு underwearஒட ஓட விட்ட்ருவேன்..what a style in dialogue delivery..,1,tanglish
Yuvan Bgm as Usual Pakka Mass,0,tanglish
Kavin frnd pradeep antony( in bigg boss3 he slaps kavin) hit like,0,tanglish
Amma saapta idli ye nerla vantha maari iruku!,1,tanglish
We need In Kannada as well..Dubb in Kannada too,0,tanglish
Dislike... Ellam ok... Lastla thalaivara vachu comedy pannringa...,1,tanglish
Saathi vena venanu  pona saathi venunu padamma da potato,1,tanglish
A SELVARAGHAVAN FILM... FD CONFIRM ONLY FOR SELVA SIR,0,tanglish
Hey Vijay darling  sir enga ena pandraru???🤗🤗🤗,0,tanglish
Inniki night kulla 800 k likes reach aagumnu solravanga comment pannunga thala rathangale ‍‍‍‍‍‍‍‍‍‍,0,tanglish
rajini mass my age 18 na rajini fan da,0,tanglish
Padu mokka..ithuku cartoon network la swat cats pathutu poirlaam,1,tanglish
Selva sir u r the genies,0,tanglish
Teaser looks good. Kv anand and vig in his movies never ending,0,tanglish
Vaa Thala vaa Thala vaa Thala I'm Waiting,0,tanglish
"Epa dai padama da idhu, vera level la iruku da, therika vetu irukanga marana mass",0,tanglish
