text,label,language_tag
මම කියන්නෙ ඒ විදියට ගත්තාම තෝ තොපිත් කුනුහරුප වෙලා ඒකනේ හාමුදුරුවන්ව හිරේ දැම්ම්මේ.,0,sinhala
"මුන්ට පොන්න පරපුර කියන්නේ නිකම්ද ඉතින්, මේ වගේ ගොබ්බ වැඩකට නම් ඒවි නැට්ට වන වන, නපුර්සක රැල. #lka",1,sinhala
සුවිස් රංගනය සහ රෙද්දේ මානව හිමිකම.ස්විස් නාඩගම අවසන්.. CCTV දර්ශණ සමගින් ආණ්ඩුව සියල්ල හෙලි කරයි. ස්විස් නාඩගමේ අලගිය මුලගිය තැන් ළගදීම රටට හෙළි කරන බව අමාත්‍ය ප්‍රසන්න රණතුංග මහතා පවසයි. රාජිත පසුගියදා කිව්වා මේ කාන්තාවගේ කටට පිස්තෝලේ ඔබපු විදිහ.,1,sinhala
", පුක දෙන එකෙක් වෙන්ටැ. අනිත් ඒව වැඩක් නෑනෙ.",1,sinhala
#ApiNodannaApsara RT : අපේක්ෂාවේ ගිනිසිළුව රැගත් චාරිකාව නුවරඑළියට #lka #TorchOfHope #Olympics,0,sinhala
අර දිනපු ලබ්බ දීල යව්නේනේ නැතුව.. අරැන් මොනවටද අර ඔච්චර නටන්නේ? හරියට නිකන් ටෙනිස් බොලෙන් ෆුට්බොල් ගැහුවා වගේ මුන්ගේ ෂෝ එක. පිස්සු නැත්තම් හොඳයි...,0,sinhala
"තොට නෙවෙයි රීච් හොයන අයට ...රීච් නොදි හිටපම් ,මටත් පස්සෙ මීටර් උනෙ",0,sinhala
ටහුඩු ඉමාශා පබ් ගිහින් පාර්ටි ඇනිමල් වෙලා,0,sinhala
බලපල්ලා උඹලා #ට්විටර්නාටකය3 කරලා රටේ •මැච් පරදිනවා •පෙට්‍රල් නෑලු •කුලාල් ආපහු එනවලු •කරන්ට් නෑලු •රටේ උන්ට කෑම ගිලෙන්නෑලු •හුස්ම ගැනෙන්නෑලු •වතුර බිව්වට පෙවෙන්නෑලු කොහෙද උඹලා මේ අයියා කියන එක අහන්නෑනේ.මෝඩ යක්කු Siri-Biri · 4 Dec 2017 මේ ගොන් ආතල් දෙන #ට්විටර්නාටකය3 වගේ එව්ව නවත්තල වට පිට බලපල්ලා ඔය රටේ මොනාද වෙන්නේ කියල. අපිනම් ගොඩ ගියා මෙහේට පැනල. උබල ඩේට ඉවර වෙනකම් ගොන්කන් කරපල්ල.,0,sinhala
අනෙඅම්මප.ආපු දවසේ ඉදන් වෙනසක් කරන එකමයි kale..,0,sinhala
මෝඩ හරකා... එක බෝඩ් එකක් ගලවලා තව එකක් ගැහුවා. අයෙ සල්ලි тнαяιη∂υ ツ · 8 Feb 2019 පොටෝ එක ඉවත් කරල වැඩක් නෑ. මොකටද ඔහොම බෝඩ් එකක් දාන්නෙ? නිකන් බොරු වැඩක් නේ. අනෙ මන්දා මේ බෝඩ් එක ගහන්නත් කීයක් යනවද?,1,sinhala
