id,original_text,clean_text,original_label,label,language_type,text_length,word_count,duplicate_flag,label_conflict,suspicious_subtitle,removal_reason
1,Ammage redda.daru Patan badaginne thiyala hadanne anurage ahawal ekada yako.,ammage redda.daru patan badaginne thiyala hadanne anurage ahawal ekada yako.,,,Singlish,76,10,False,False,False,
2,ane gas ballo...hama.dema oham dakinna epa...lanwe oham than hama thanamatiyanwa,ane gas ballo..hama.dema oham dakinna epa..lanwe oham than hama thanamatiyanwa,,,Singlish,78,10,False,False,False,
3,Anura kelawaganene balu upadesakala nessa .,anura kelawaganene balu upadesakala nessa .,,,Singlish,43,6,False,False,False,
4,Anura kumarage neethiya,anura kumarage neethiya,,,Singlish,23,3,False,False,False,
5,Apith enam paraka thank atawa gattama apitat  thank hambeyi ne  etkot,apith enam paraka thank atawa gattama apitat thank hambeyi ne etkot,,,Singlish,67,11,False,False,False,
6,Apith ghilla payment eke kada damu hema thanama,apith ghilla payment eke kada damu hema thanama,,,Singlish,47,8,False,False,False,
7,Aruta kelawenwa,aruta kelawenwa,,,Singlish,15,2,False,False,False,
8,Awajataka ponnayak rajakarata topita Dan sapada,awajataka ponnayak rajakarata topita dan sapada,,,Singlish,47,6,False,False,False,
9,Colaba oya vagay unama parliament manthrini maligay niyogan adikrana niyogaya navathuva avagay maykath karanam a minissunta sathak vai nayda,colaba oya vagay unama parliament manthrini maligay niyogan adikrana niyogaya navathuva avagay maykath karanam a minissunta sathak vai nayda,,,Singlish,140,19,False,False,False,
10,Dan saneepa da,dan saneepa da,,,Singlish,14,3,False,False,False,
11,Dan sapada topita sunakayak raja karana,dan sapada topita sunakayak raja karana,,,Singlish,39,6,False,False,False,
12,Deepalla anurata chande.dan hodai neda.,deepalla anurata chande.dan hodai neda.,,,Singlish,39,5,False,False,False,
13,Den harine Ranil ta kelawala,den harine ranil ta kelawala,,,Singlish,28,5,False,False,False,
14,"eka anurada kadala thiyenne, yako mu mara baduwakneh. video eka apassata aragenath baluwa. anura nane.","eka anurada kadala thiyenne, yako mu mara baduwakneh. video eka apassata aragenath baluwa. anura nane.",,,Singlish,102,15,False,False,False,
15,Gahaa alawapalaaa,gahaa alawapalaaa,,,Singlish,17,2,False,False,False,
16,Good job,good job,,,Singlish,8,2,False,False,False,
17,Good job but give them new place poor person they have to do there business,good job but give them new place poor person they have to do there business,,,Singlish,75,15,False,False,False,
18,Ha me hitapu sabapathiyane geme ekabrun karanne.unage aththanomathika theerana thamai me.,ha me hitapu sabapathiyane geme ekabrun karanne.unage aththanomathika theerana thamai me.,,,Singlish,89,11,False,False,False,
19,hoda wade okunta parawal aine  minissunta karadara wenna kada danawata,hoda wade okunta parawal aine minissunta karadara wenna kada danawata,,,Singlish,69,10,False,False,False,
20,"Honda dewal karanakota sahayogaya deepalla 
Horata hadagath liyavili penna penna kagahanna eppa ratama dakinawa thamunlage boru aithiwasikam gana 
Apu niladarin unta kagahanna deela apu Rajakariya Itukaranna onnae
Neethiya Dan kriyathmaka wenawa dakweemak sathutak",honda dewal karanakota sahayogaya deepalla horata hadagath liyavili penna penna kagahanna eppa ratama dakinawa thamunlage boru aithiwasikam gana apu niladarin unta kagahanna deela apu rajakariya itukaranna onnae neethiya dan kriyathmaka wenawa dakweemak sathutak,,,Singlish,262,33,False,False,False,
21,Kada heduwata lassnata un okkom kunu danne kanuwata,kada heduwata lassnata un okkom kunu danne kanuwata,,,Singlish,51,8,False,False,False,
22,Kadar jeppo,kadar jeppo,,,Singlish,11,2,False,False,False,
23,Kalakani untha chandaya dila widawanewa,kalakani untha chandaya dila widawanewa,,,Singlish,39,5,False,False,False,
24,Kalin palana balayata dapuwa Hoda wede.,kalin palana balayata dapuwa hoda wede.,,,Singlish,39,6,False,False,False,
25,Katha wedak na lankawe hamathanakama neethiyak danna oni. Mewa thahanam kiyala. Kauru hari anawaseren hadala hnam galawala ain karanna,katha wedak na lankawe hamathanakama neethiyak danna oni. mewa thahanam kiyala. kauru hari anawaseren hadala hnam galawala ain karanna,,,Singlish,134,19,False,False,False,
26,Me minisunta kada hadala dila mewa ainkaranam hari kochara unath ahinsaka minisu,me minisunta kada hadala dila mewa ainkaranam hari kochara unath ahinsaka minisu,,,Singlish,80,12,False,False,False,
27,no shop on the road,no shop on the road,,,Singlish,19,5,False,False,False,
28,Nodakin nnp kalakanni,nodakin nnp kalakanni,,,Singlish,21,3,False,False,False,
29,Oka Dana manussaya dannawa owa kawdawath istera na kiyala yanna ona welawata yanna ona,oka dana manussaya dannawa owa kawdawath istera na kiyala yanna ona welawata yanna ona,,,Singlish,86,14,False,False,False,
30,Ookata thamai Clean siri Lanka kiyanne ooi,ookata thamai clean siri lanka kiyanne ooi,,,Singlish,42,7,False,False,False,
31,Owata warning deela tibbe......owa krn natuwa Meka hadanna ba ...kee denek accident wela tiynawda oya hariye....main reason eka oka ....,owata warning deela tibbe..owa krn natuwa meka hadanna ba ..kee denek accident wela tiynawda oya hariye..main reason eka oka ..,,,Singlish,127,20,False,False,False,
32,Oya wage rassawal karanawata wadiya hondai guu kawanam,oya wage rassawal karanawata wadiya hondai guu kawanam,,,Singlish,54,8,False,False,False,
33,para aine kada noda kele kada dannada pako,para aine kada noda kele kada dannada pako,,,Singlish,42,8,False,False,False,
34,Parawal okkoma mun balen allagena,parawal okkoma mun balen allagena,,,Singlish,33,5,False,False,False,
35,parawalwala latapata atawagena pissu keliyata hariyanne na bolaw..maruma wedak..,parawalwala latapata atawagena pissu keliyata hariyanne na bolaw..maruma wedak..,,,Singlish,80,9,False,False,False,
36,PUKARUDAYATA JAYEN JAYAMA WEWAAAAAAAAAA.,pukarudayata jayen jayama wewaa.,,,Singlish,32,4,False,False,False,
37,Punarude pataaaaaaaan gatta wirai,punarude pataan gatta wirai,,,Singlish,27,4,False,False,False,
38,thambiyo hamathanama idam allanawa kadawal danwa...ape sinhalayonta tamai me kenehelikam...sinhala baudda rataka mewa wenne,thambiyo hamathanama idam allanawa kadawal danwa..ape sinhalayonta tamai me kenehelikam..sinhala baudda rataka mewa wenne,,,Singlish,121,14,False,False,False,
39,thanne kumbure palama gawa idala stand eka gawata awa kenek dannawa. e hariye block eka ane please e tika nam kohomahari hadenna one. minissunta asadaranayak nikara,thanne kumbure palama gawa idala stand eka gawata awa kenek dannawa. e hariye block eka ane please e tika nam kohomahari hadenna one. minissunta asadaranayak nikara,,,Singlish,164,26,False,False,False,
40,Thopi rallata chande dela den sanepada,thopi rallata chande dela den sanepada,,,Singlish,38,6,False,False,False,
41,Thopi ussala dunnana .,thopi ussala dunnana .,,,Singlish,22,4,False,False,False,
42,Topitha hoda wade,topitha hoda wade,,,Singlish,17,3,False,False,False,
43,"Ubala,mahindge,ellila,desapalanaya,karala
,owaa,alla,gaht,the","ubala,mahindge,ellila,desapalanaya,karala ,owaa,alla,gaht,the",,,Singlish,61,2,False,False,False,
44,Wenathanak denna paw me minissu,wenathanak denna paw me minissu,,,Singlish,31,5,False,False,False,
45,What about dadley sirisena hotel ???,what about dadley sirisena hotel ??,,,Singlish,35,6,False,False,False,
46,What about pettah,what about pettah,,,Singlish,17,3,False,False,False,
47,2ma wade giya neda dan 2tama huda wede....,2ma wade giya neda dan 2tama huda wede..,,,Singlish,40,8,False,False,False,
48,Ai baluwe,ai baluwe,,,Singlish,9,2,False,False,False,
49,Ai oyaminiha ohomai kiyala  therunnedda? Aiyoo.,ai oyaminiha ohomai kiyala therunnedda? aiyoo.,,,Singlish,46,6,False,False,False,
50,"Aiyooo oya isuru gena danna tharama thamai.
Muta ahu wena kello paw.",aiyooo oya isuru gena danna tharama thamai. muta ahu wena kello paw.,,,Singlish,68,12,False,False,False,
51,Ammo Tharindi beruna,ammo tharindi beruna,,,Singlish,20,3,False,False,False,
52,"Ane ban ubalata Mokada une kiyana dewal apita wadak ne ay hutho mewa madyata dane owa nawathapan ban , Dushantha baduwa uba eki tiyagena Nikam hitiyada karana one dewal uba karane Malith patta waseyak ban","ane ban ubalata mokada une kiyana dewal apita wadak ne ay hutho mewa madyata dane owa nawathapan ban , dushantha baduwa uba eki tiyagena nikam hitiyada karana one dewal uba karane malith patta waseyak ban",,,Singlish,204,35,False,False,False,
53,Anee manda mewata monawa kiyannada kiyala kalin sithanna thibunu deyak dan siyalla siduwee hamariy........giya nuwana athun lawaavath addawaaganna   ba.....,anee manda mewata monawa kiyannada kiyala kalin sithanna thibunu deyak dan siyalla siduwee hamariy..giya nuwana athun lawaavath addawaaganna ba..,,,Singlish,145,19,False,False,False,
54,Aniwarryen ane me huththiyo bara gnn oni thram ewun innw,aniwarryen ane me huththiyo bara gnn oni thram ewun innw,,,Singlish,56,10,False,False,False,
55,Aparade oyala adarenma hitiya ai mey,aparade oyala adarenma hitiya ai mey,,,Singlish,36,6,False,False,False,
56,API danne ne attha mokakda kiyala.kage unath attha adarayaknm bindenna honda ne,api danne ne attha mokakda kiyala.kage unath attha adarayaknm bindenna honda ne,,,Singlish,79,12,False,False,False,
57,Api nam hithuwa wadi  kal yanne ne kiyala..kohomath Isuru wa nm meyta galapenne ne..,api nam hithuwa wadi kal yanne ne kiyala..kohomath isuru wa nm meyta galapenne ne..,,,Singlish,83,14,False,False,False,
58,API owa kiwwa eay Gani kasada beadsla inna puluwan keynak neamai gahala wisikaranna puluwan keynak ganiyak unama headiyawa thiyanna ona,api owa kiwwa eay gani kasada beadsla inna puluwan keynak neamai gahala wisikaranna puluwan keynak ganiyak unama headiyawa thiyanna ona,,,Singlish,135,20,False,False,False,
59,Apita owa wadk na yako,apita owa wadk na yako,,,Singlish,22,5,False,False,False,
60,Apita panda oii itim,apita panda oii itim,,,Singlish,20,4,False,False,False,
61,Apita wadak nahane... Un Mari karath Akai natahath Akai .. lankawa unta hari puke amaruwa ... Ne,apita wadak nahane.. un mari karath akai natahath akai .. lankawa unta hari puke amaruwa .. ne,,,Singlish,94,17,False,False,False,
62,Apta  moko  kauda  me,apta moko kauda me,,,Singlish,18,4,False,False,False,
