id,comment,label
1,uba nam awajathaka wage ne hariyata.,toxic
2,Me wage moda athal danne nathuwa tikak hithapan oya ge kathawa.,toxic
3,oya ge wada mehema karanne wal buruwa nisa da? ban.,toxic
4,"Ane mehema wada karana eka, moda yakku wage ne.",toxic
5,umbala nam gon ne comment karanna kalin hithapan.,toxic
6,Mokakda me me comment eka danapu eka ge gon wada? ne.,toxic
7,oya ge post eka ge me wage hariyata therumak nathi comment dakkama epa wenawa.,toxic
8,"oya ge reply eka hariyata kata witharai wada wage wada karanawa, tikak igena ganin.",toxic
9,oya ge wada ge kathawa ahuwama moda kiyala hithenawa.,toxic
10,"Ane me comment eka danapu eka, wikarayak ban.",toxic
11,Me wage mole nathi athal danne nathuwa tikak hithapan me video eka balala comment karana eka.,toxic
12,Me wage wikarayak athal danne nathuwa tikak hithapan oya.,toxic
13,"me wage wada karana aya, meka nam moda yakku wage level ekak. comment karanna kalin hithapan.",toxic
14,Mokakda me umbala ge kata witharai wada wada? ane.,toxic
15,me wage wada karana aya ge me wage gon harakek comment dakkama epa wenawa.,toxic
16,"Hariyata baluwoth oya ge post eka wada nodanna wage ne, ne.",toxic
17,mehema wada karana eka moda yakku wage kiyala therenneth ne.,toxic
18,"mehema wada karana eka, uba nam weda bari lajja nadda.",toxic
19,"oya, meka nam wal buruwa level ekak. ane.",toxic
20,oya ge post eka ge me wage weda bari comment dakkama epa wenawa.,toxic
21,oya ge reply eka weda bari meka nam athi.,toxic
22,"Ane me video eka balala comment karana eka, pissu wage lajja nadda.",toxic
23,"me comment eka danapu eka hariyata gon athal karaya wage wada karanawa, boruwata katha karanne.",toxic
24,"mehema wada karana eka, meka nam boru karaya level ekak. hariyata wada karapan.",toxic
25,Mokakda me oya ge kathawa ge chater wada? machan.,toxic
26,Me wage mole nathi athal danne nathuwa tikak hithapan mehema wada karana eka.,toxic
27,"me video eka balala comment karana eka, meka nam hitha nathi level ekak. meka nam athi.",toxic
28,"oya ge kathawa, meka nam chater level ekak. ane.",toxic
29,"me comment eka danapu eka hariyata hariyata therumak nathi wage wada karanawa, me wage wada nawaththapan.",toxic
30,"Hariyata baluwoth oya wage kenek moda yakku wage wage ne, kata wahagena inna.",toxic
31,Mokakda me oya ge boru karaya wada? danawada mokakda kiyala.,toxic
32,mehema wada karana eka ge kathawa ahuwama moda kiyala hithenawa.,toxic
33,Oya ge post eka nam weda bari lajja nadda.,toxic
34,me video eka balala comment karana eka mehema karanne loku talk karana moda nisa da? hariyata.,toxic
35,"oya ge post eka, meka nam moda level ekak. danawada mokakda kiyala.",toxic
36,"Ane oya, wada nodanna ban.",toxic
37,umbala ge kathawa ahuwama gon harakek kiyala hithenawa.,toxic
38,Mokakda me oya wage kenek ge moda yakku wage wada? ane.,toxic
39,Oya ge post eka nam pissu wage boruwata katha karanne.,toxic
40,"Hariyata baluwoth oya ge wada wadak nathi wage ne, hariyata behave karapan.",toxic
41,"umbala hariyata hariyata therumak nathi wage wada karanawa, kata wahagena inna.",toxic
42,"me wage wada karana aya, meka nam gon athal karaya level ekak. thamuse.",toxic
43,oya ge reply eka ge kathawa ahuwama mole kalpana nathi kiyala hithenawa.,toxic
44,"oya ge idea eka hariyata moda yakku wage wage wada karanawa, kiyala therenneth ne.",toxic
45,"me video eka balala comment karana eka hariyata gon athal karaya wage wada karanawa, machan.",toxic
46,oya ge idea eka nam pissu wage ne kata wahagena inna.,toxic
47,"oya ge post eka hariyata chater wage wada karanawa, ane.",toxic
48,Mokakda me oya ge kathawa ge boru karaya wada? me wage wada nawaththapan.,toxic
49,Oya ge post eka nam wadak nathi ban.,toxic
50,"oya ge idea eka hariyata gon wage wada karanawa, machan.",toxic
51,oya ge reply eka mehema karanne wadak nathi nisa da? hariyata wada karapan.,toxic
52,"Ane oya ge idea eka, awajathaka wage ban.",toxic
53,"Ane mehema wada karana eka, gon thamuse.",toxic
54,uba nam moda yakku wage ne hariyata wada karapan.,toxic
55,oya ge idea eka mehema karanne kata witharai wada nisa da? ne.,toxic
56,oya wage kenek ge me wage weda bari comment dakkama epa wenawa.,toxic
57,"oya ge wada hariyata moda yakku wage wage wada karanawa, me wage wada nawaththapan.",toxic
58,Me wage moda athal danne nathuwa tikak hithapan oya ge wada.,toxic
