text,label,language_tag
mama kawadawath oyawa mata kemathi karawanna uthsaha kale nehe mama oyawa mata hondin adaraya karanna uthsaha kala subha pethum oya eka ayin kala,0,singlish
"oya ge wada hariyata wal buruwa wage wada karanawa, meka nam athi.",0,singlish
"""Manikah",0,singlish
mama hithuwe oyata minihek innawa kiyala mama kiwwa api eya gena katha karanne nehe kiyala,0,singlish
eyi api ewayin samaharak laba nogatha yuththe wishala athalossak anubhawa kara in samaharak siduwanne kumakda yannayi,0,singlish
hondayi subha rathriyak,0,singlish
owun apasu ethulata yana thenata gos etha,0,singlish
"""kudda",1,singlish
mama pahata rediyal [Unkown] salakunu karamin rojar wulf eka pita karanawa,1,singlish
nikamata hithuwa samaharawita eya eyage kela ekka kopi tikak bonna oya kemathi nehe kiyala,0,singlish
mata yamak awashyayi obata benku sambandhatha thibeda mata sambandhatha thibe,0,singlish
oyata asaneepayi mata kawadawath hondak denune nehe,0,singlish
mama samaye minisek mama obata jeewath weemata awashya eya regena yannemi,0,singlish
mata iwasiya heki ekama asalwesiya obayi mama obata anathuru engewwa,0,singlish
"""hodai",0,singlish
oba obe potha wikunana thuru eya apasu ganna meriyan enna api sathyayata muhuna demu kisiweku eya prakashayata path nokaranu etha,1,singlish
mama ellenawa heyi inna,1,singlish
e hutta wena wachanayak neweyi,1,singlish
mama obata thawath ganudenuwak kireemata sudanam oh thawamath mage hadawatha wanna,0,singlish
"""Lassanaei nehara tichar",0,singlish
"Ane oya, pissu wage danawada mokakda kiyala.",1,singlish
samahara wita mama kihipa wathawakma katawath wedi thaba etha,1,singlish
ow,1,singlish
hisak nomethiwa siyaluma wilasithawan mata wisthara ithiri karayi,0,singlish
e gena mata kiyanna,0,singlish
"Ane manda oya ge reply eka, hitha nathi wage behave wenne ai? tikak igena ganin.",0,singlish
"""Lasannee",0,singlish
namuth mata ema poth awashyayi oba mata obe piya mathak kara denawa ohu kawadawath chayarupa elbamayak illa nositiyath ohu nitharama kegesuwa,0,singlish
ow ow mama eya matha sitimi api ikmaninma gaman karana tharamata api ape de wiyadam kireemata ikman wemu,0,singlish
oya awurudu hayakata kalin edee kellawa marala demma mona magulakda,1,singlish
oba koheda [Unkown] hotalaya,0,singlish
"oya hariyata weda bari wage wada karanawa, comment karanna kalin hithapan.",1,singlish
"""El",0,singlish
"""Akke dance eka beautiful ?? Video ekata Copyright wadila ??",0,singlish
mage kabaya namuth api kala yuththe kumakda [Unkown],0,singlish
ithin mama sadharana paharak laba gannam obata obata awashya siyalla lebenu etha ho neel obata laba geneemata awashya deyi balamu,1,singlish
mama e yaka ida nodemi namuth eeye rathriye karyalayedee api mage wththiya gena sakachcha karana wita oba ekanga wiya,1,singlish
eththatama matin api katha karanna apu chithrapatiya [Unkown] [Unkown] ow apita therenawa oya pitapatha kiyawala ekata godak kemathi,0,singlish
den api nawathwanne nethi de ,0,singlish
eya hondin sitinu etheyi uba sithanawada eya eyawa rekabala ganne kesedeyi danee,1,singlish
awajataka ponnayak rajakarata topita dan sapada,1,singlish
para aine kada noda kele kada dannada pako,1,singlish
pukarudayata jayen jayama wewaa.,1,singlish
"ane ban ubalata mokada une kiyana dewal apita wadak ne ay hutho mewa madyata dane owa nawathapan ban , dushantha baduwa uba eki tiyagena nikam hitiyada karana one dewal uba karane malith patta waseyak ban",1,singlish
aniwarryen ane me huththiyo bara gnn oni thram ewun innw,1,singlish
gon ganu may kupadiyata ahuunane,1,singlish
gon ganu thopi aththen aththata pana pana ganikawo wage idapalla.jara ganu unge nisi wayasata badapallako kollek hoyan naki eun hoya gaththa,1,singlish
isuru kiyanne sakkiliyek u hirhan inne u hari porak kiyala paka hukanawa ath harinawa pandethakam dhodawanawa amu gawaya,1,singlish
umbala mole kalpana nathi ne.,1,singlish
kalakanniya,1,singlish
me balla nakiyeknemuta naki vise gal musalayek hati muge,1,singlish
"""pattaaa",0,singlish
mona ponnayekda mea isuruasahanayak thiyenawanam spa ekata palayan kello amaruwe danna epa,1,singlish
"monawada ban meke isuru kiyala thiyenne, boru huththawal noda hitapan",1,singlish
"""3:53 atha allanna neda giye kelum horennma nodenenna ??",1,singlish
mu dakinnath appiriyai awajathakaya.,1,singlish
mu ponna avajathakaya iru renota kello denawa munta nadu danna one,1,singlish
hutto me wage comment damma asawen balana unta epa wenawa ube pake comment eken danagaghthe lankawa dinala kiyla e nisa balala wadak nane huto,1,singlish
oyala tham inne dubaida. yuddaya thama thiyenawada. wisthara tikak kiyannakoo ilaga vlog eken kiyannakoo. parissamin inna.,1,singlish
hena gahapn ponnayata,1,singlish
heshan ponnaya okata naginne na,1,singlish
hukanna ba vidiyo oni,1,singlish
ballanna tikak parakku una sorry,1,singlish
mona wesiyok da,1,singlish
obata mawa pitathata gena yamata gewanu lebuwe mama sebawinma waira karana ek pudgalayeku wisini eya sakas kireemak bawa mama dena sitiyemi eya ese nowe,1,singlish
me wesi dakkma matath epa wenawne,1,singlish
wesi wesama wenna,1,singlish
oba sampurnayenma kalakanni bawa obata eka reyakata amathaka kala hekida,1,singlish
oya beela ne mama puka dunna mama prathikshepa kala eka loku winodayak,1,singlish
maknisada yath oba mata kemathi gehenu lamayeku soya geneemata heki wana paridi mata kemathi gehenu lamayin iwath kireemata patan gatha yuthu bewini,1,singlish
obe dakunu padaya ehi thabanna eya amathaka karanna mama newathee sitimi,1,singlish
"umbala, meka nam gon level ekak. danawada mokakda kiyala.",1,singlish
oya gon harakek hariyata behave karapan.,1,singlish
mokakda me me comment eka danapu eka ge awajathaka wage wada? kiyala therenneth ne.,1,singlish
"uba hariyata gon harakek wage wada karanawa, thamuse.",1,singlish
oya ge kathawa gon harakek ban.,1,singlish
mokakda me oya ge gon wada? machan.,1,singlish
oya ge post eka nam gon harakek boruwata katha karanne.,1,singlish
oya nam awajathaka wage ne hariyata.,1,singlish
"hariyata baluwoth oya wage kenek gon athal karaya wage ne, meka dakka gaman hina yanawa.",1,singlish
me wage gon athal danne nathuwa tikak hithapan oya wage kenek.,1,singlish
"oya ge kathawa, meka nam gon level ekak. kata wahagena inna.",1,singlish
umbala gon athal karaya ne.,1,singlish
"hariyata baluwoth mehema wada karana eka awajathaka wage wage ne, machan.",1,singlish
"ane manda me video eka balala comment karana eka, gon wage behave wenne ai? meka dakka gaman hina yanawa.",1,singlish
"oya wage kenek, uba nam gon athal karaya boruwata katha karanne.",1,singlish
"ane me wage wada karana aya, gon athal karaya hariyata wada karapan.",1,singlish
oya ge post eka nam gon lajja nadda.,1,singlish
"ane manda mehema wada karana eka, awajathaka wage wage behave wenne ai? me wage wada nawaththapan.",1,singlish
umbala ge me wage awajathaka wage comment dakkama epa wenawa.,1,singlish
"ane me video eka balala comment karana eka, gon hariyata.",1,singlish
"ane me video eka balala comment karana eka, gon harakek meka nam athi.",1,singlish
"ane oya wage kenek, gon harakek boruwata katha karanne.",1,singlish
"hariyata baluwoth me video eka balala comment karana eka gon athal karaya wage ne, hariyata behave karapan.",1,singlish
"ane me wage wada karana aya, awajathaka wage tikak igena ganin.",1,singlish
me video eka balala comment karana eka gon danawada mokakda kiyala.,1,singlish
